GEOID,HubName,HubDist
53071920301,358665780,219813.52121757946
53071920302,358665780,219480.4452427711
53071920901,358665780,213021.50999931231
53033030003,12097192054,14649.834991480842
53033005307,53184121,5901.8192869911945
53033030309,12097192054,9308.115120222647
53033030310,12097192054,8004.0933285915935
53033030311,12097192054,7733.238740019911
53033030312,12097192054,6878.489352776499
53033031000,12097192054,19615.283579560673
53033031206,12097192054,20689.899033216654
53033031302,13071427976,33707.05040256434
53053073120,13071427976,17682.386674315214
53047940100,6388426551,131026.91457716838
53047940200,6388426551,114682.23489647056
53033024100,3518714008,7841.471572306764
53033024400,11035186711,8311.397520458186
53053062000,13071427976,2846.4726095502
53053940007,13071427976,3735.6332955015355
53033001000,635748207,3240.0065364613974
53053940006,13071427976,4830.777113446226
53053062300,13071427976,4141.891419073053
53053062801,13071427976,4328.602189659671
53053062802,13071427976,6697.133580592025
53053063000,13071427976,5469.385352050066
53053073404,13071427976,12782.61053307595
53011041320,2631801052,15017.620458459103
53033032324,3518714008,1523.0870213662656
53033024301,11035186711,7115.481932380112
53033024002,3518714008,8693.961146626332
53033022804,3518714008,4161.981233229287
53033022502,3518714008,5407.885002117096
53033023805,3518714008,8112.776404826808
53033010602,356551783,2838.1308845587914
53033010601,356551783,1732.709287248865
53033011902,11035186711,11958.835823335037
53033031101,12097192054,20000.61501193146
53033000201,635748207,2024.3254471612474
53033006701,53184118,2821.303863370284
53033000102,635748207,4213.432992871095
53033010301,11035186711,6525.29591520585
53033003301,13361539355,1020.3520232448567
53033005402,13361539355,3231.5724818373405
53033003201,13361539355,2027.1442721890267
53033004201,11609050926,6542.4422299583575
53033030204,12097192054,11976.146953387248
53033030007,12097192054,14556.7446177449
53033000101,635748207,3710.4764675779747
53033006702,53184118,2524.861500708349
53033007501,53184121,1320.403028907667
53033007502,53184121,853.1265469952292
53033008004,53184118,2412.4318164758
53033004401,11609050926,5192.339202851822
53033007202,53184118,1340.7179982092334
53033007303,53184118,1619.451931520054
53033001202,11609050926,1782.3379242887463
53033004402,11609050926,5411.73207936068
53033029701,356551783,20572.971895784398
53033029803,356551783,20093.060808671875
53033020302,635748207,5759.584307223433
53033026101,356551783,10230.714792929053
53033029506,356551783,22244.56872487565
53033029604,356551783,24419.035616286634
53033031102,12097192054,19376.509423226147
53033003202,13361539355,1430.354540274833
53033029806,12097192054,16142.656612570248
53033031208,12097192054,20297.960031846174
53033032217,3518714008,9135.193138143886
53033023902,3518714008,12455.053474675504
53033029308,356551783,16991.055671019807
53033024302,11004965702,5948.914474427197
53033025401,11035186711,15853.585680140608
53033003302,13361539355,1199.1376527866387
53033010502,356551783,3094.640058977716
53033010501,356551783,2780.986501378689
53033000202,635748207,2913.4872726703416
53033029702,356551783,22207.735926269263
53033031912,3518714008,20682.47685248898
53061053802,3518714008,31113.329436317974
53063004100,358665780,46581.688829939376
53053060903,11363011015,6288.694926973986
53053060904,11363011015,4976.591230069142
53053061001,11363011015,7379.606754902996
53063001800,358665780,43587.74203120562
53063001900,358665780,46573.201306091214
53063002000,358665780,47529.53538754501
53063002100,358665780,48301.957316736
53033029307,356551783,19873.06372046873
53017950102,6388426551,148916.1765851942
53067011624,11787663735,6979.165368224451
53033026300,356551783,6714.381826841506
53033026400,356551783,4912.967880209884
53067012002,13900397768,8187.78377994947
53067012532,11787663735,26390.71567250211
53067011625,11787663735,4229.33737796862
53067010802,13900397768,6423.8557758075085
53067011626,11787663735,3684.5786311423735
53067011421,11787663735,2797.8318583218334
53067011422,11787663735,3615.845057756777
53067012226,10920467847,8229.762125139665
53067011628,11787663735,4773.932294735169
53057940500,9559342242,23323.885046470743
53033032211,3518714008,13266.733701437739
53033032307,3518714008,9693.474995342345
53033032317,3518714008,7931.613846437411
53033022902,3518714008,4354.146972263604
53033023000,3518714008,6148.069987486667
53053073406,13071427976,15375.689803279782
53011041007,2631801052,14343.848536342917
53053071309,13071427976,16572.439373294506
53061053803,3518714008,43313.89781441825
53061052004,6562979688,11811.837370862324
53061053302,9559342242,18863.893490482307
53061052502,6562979688,8338.356142224076
53061050101,635748207,16067.07865318843
53061053202,6562979688,20461.511376922685
53061052113,3518714008,15748.116977263713
53061050402,635748207,9969.711167831701
53061052302,6562979688,15269.347421070634
53061051916,635748207,12458.567767883069
